School Name,Start Date,End Date,Notes,Degree Name,Activities
University of Technology ( Yatanarpon Cyber City),Nov 2019,Mar 2027,,Bachelor of Engineering - BE,
University of the People,Jan 2023,Apr 2025,,Associate's degree,
